POKEMON,IPFS_URL
Pikachu,ipfs://bafyreibkcgd2vdw7dzjc6lypyl54nu2rozmgi6g5dpbq2w3oqxqhvgesvm/metadata.json
Bulbasaur,ipfs://bafyreieqrgx34acvgryhqxoqqinjsu5to3iu3sz57qv6lzniasbefxy7ii/metadata.json
Squirtle,ipfs://bafyreigqrglv4a6dagfckb2tdhfkwics2uthhbkm4xsvywfi56xigcikka/metadata.json
Charmander,ipfs://bafyreiembcuuehohghsfaafvlhqsfzyvtxz4sm4tixkanim75wtjiaqs3u/metadata.json
